beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Violent,1026,1071,887,406,826,2984,994.7,-13.5,-19.5,-6.9,-17,2700,2818.4,2334.2,2173.7,2617.6
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Violent,914,1025,852,357,738,2791,930.3,-6.8,-19.3,-13.4,-21,4570,5125,4260,3690,4651.5
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Violent,713,640,647,325,645,2000,666.7,-9.3,-9.5,-0.3,-3,3752.6,3368.4,3405.3,3394.7,3508.9
22B20,22,4.61158268,Greenspoint,24000,Violent,1488,1580,1388,627,1291,4456,1485.3,-6.7,-13.2,-7,-13,6200,6583.3,5783.3,5379.2,6188.8
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",13000,Violent,647,674,563,293,563,1884,628,-13,-13,0,-10,4976.9,5184.6,4330.8,4330.8,4830.8
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21000,Violent,1437,1363,1250,606,1212,4050,1350,-13,-15.7,-3,-10,6842.9,6490.5,5952.4,5771.4,6428.6
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Violent,697,770,800,315,698,2267,755.7,14.8,0.1,-12.8,-8,3872.2,4277.8,4444.4,3877.8,4198.3
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Violent,246,225,219,106,227,690,230,-11,-7.7,3.7,-1,3075,2812.5,2737.5,2837.5,2875
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Violent,373,385,490,237,489,1248,416,31.4,31.1,-0.2,18,3390.9,3500,4454.5,4445.5,3781.8
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Violent,761,817,711,376,739,2289,763,-6.6,-2.9,3.9,-3,6341.7,6808.3,5925,6158.3,6358.3
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Violent,281,312,297,121,253,890,296.7,5.7,-10,-14.8,-15,4014.3,4457.1,4242.9,3614.3,4238.6
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Violent,378,499,419,174,374,1296,432,10.8,-1.1,-10.7,-13,3436.4,4536.4,3809.1,3400,3927.3
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Violent,176,202,175,80,166,553,184.3,-0.6,-5.7,-5.1,-10,2200,2525,2187.5,2075,2303.8
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Violent,443,475,430,166,368,1348,449.3,-2.9,-16.9,-14.4,-18,5537.5,5937.5,5375,4600,5616.2
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Violent,639,713,545,264,541,1897,632.3,-14.7,-15.3,-0.7,-14,3363.2,3752.6,2868.4,2847.4,3327.9
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Violent,180,216,171,66,151,567,189,-5,-16.1,-11.7,-20,3000,3600,2850,2516.7,3150
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Violent,402,447,348,185,357,1197,399,-13.4,-11.2,2.6,-11,2512.5,2793.8,2175,2231.2,2493.8
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Violent,222,293,278,124,260,793,264.3,25.2,17.1,-6.5,-2,2466.7,3255.6,3088.9,2888.9,2936.7
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Violent,766,764,696,290,664,2226,742,-9.1,-13.3,-4.6,-11,3330.4,3321.7,3026.1,2887,3226.1
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Violent,315,271,259,109,234,845,281.7,-17.8,-25.7,-9.7,-17,2863.6,2463.6,2354.5,2127.3,2560.9
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Violent,190,200,197,124,214,587,195.7,3.7,12.6,8.6,9,1900,2000,1970,2140,1957
10H30,10,1.02691154,Near East End,4000,Violent,171,158,173,73,170,502,167.3,1.2,-0.6,-1.7,2,4275,3950,4325,4250,4182.5
10H40,10,0.99627062,Midtown,8000,Violent,751,638,567,261,545,1956,652,-24.5,-27.4,-3.9,-16,9387.5,7975,7087.5,6812.5,8150
10H50,10,2.30843079,the University of Houston area,13000,Violent,753,691,609,308,613,2053,684.3,-19.1,-18.6,0.7,-10,5792.3,5315.4,4684.6,4715.4,5263.8
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Violent,544,520,496,268,520,1560,520,-8.8,-4.4,4.8,0,2720,2600,2480,2600,2600
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Violent,421,435,458,208,429,1314,438,8.8,1.9,-6.3,-2,2631.2,2718.8,2862.5,2681.2,2737.5
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Violent,120,97,98,50,103,315,105,-18.3,-14.2,5.1,-2,631.6,510.5,515.8,542.1,552.6
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Violent,832,957,776,381,761,2565,855,-6.7,-8.5,-1.9,-11,2971.4,3417.9,2771.4,2717.9,3053.6
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Violent,430,416,432,182,397,1278,426,0.5,-7.7,-8.1,-7,2388.9,2311.1,2400,2205.6,2366.7
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Violent,404,481,409,230,448,1294,431.3,1.2,10.9,9.5,4,2693.3,3206.7,2726.7,2986.7,2875.3
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Violent,107,142,119,53,104,368,122.7,11.2,-2.8,-12.6,-15,1337.5,1775,1487.5,1300,1533.8
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Violent,147,189,195,93,176,531,177,32.7,19.7,-9.7,-1,1837.5,2362.5,2437.5,2200,2212.5
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Violent,1097,1337,1378,671,1384,3812,1270.7,25.6,26.2,0.4,9,2493.2,3038.6,3131.8,3145.5,2888
12D20,12,3.83700574,Sage,22000,Violent,359,427,375,188,380,1161,387,4.5,5.8,1.3,-2,1631.8,1940.9,1704.5,1727.3,1759.1
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Violent,201,206,204,92,182,611,203.7,1.5,-9.5,-10.8,-11,1340,1373.3,1360,1213.3,1358
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Violent,252,272,244,120,238,768,256,-3.2,-5.6,-2.5,-7,2290.9,2472.7,2218.2,2163.6,2327.3
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Violent,96,80,94,42,86,270,90,-2.1,-10.4,-8.5,-4,369.2,307.7,361.5,330.8,346.2
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Violent,199,269,242,95,220,710,236.7,21.6,10.6,-9.1,-7,904.5,1222.7,1100,1000,1075.9
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Violent,223,255,221,114,231,699,233,-0.9,3.6,4.5,-1,1858.3,2125,1841.7,1925,1941.7
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Violent,677,668,592,323,639,1937,645.7,-12.6,-5.6,7.9,-1,2943.5,2904.3,2573.9,2778.3,2807.4
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Violent,1149,1148,918,515,939,3215,1071.7,-20.1,-18.3,2.3,-12,3191.7,3188.9,2550,2608.3,2976.9
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Violent,46,37,35,19,33,118,39.3,-23.9,-28.3,-5.7,-16,2300,1850,1750,1650,1965
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Violent,166,222,183,90,179,571,190.3,10.2,7.8,-2.2,-6,1276.9,1707.7,1407.7,1376.9,1463.8
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Violent,1038,1096,892,415,844,3026,1008.7,-14.1,-18.7,-5.4,-16,6105.9,6447.1,5247.1,4964.7,5933.5
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28000,Violent,1691,1763,1512,735,1433,4966,1655.3,-10.6,-15.3,-5.2,-13,6039.3,6296.4,5400,5117.9,5911.8
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Violent,821,750,660,359,643,2231,743.7,-19.6,-21.7,-2.6,-14,3909.5,3571.4,3142.9,3061.9,3541.4
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Violent,622,667,604,325,642,1893,631,-2.9,3.2,6.3,2,2961.9,3176.2,2876.2,3057.1,3004.8
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Violent,196,247,245,128,247,688,229.3,25,26,0.8,8,2177.8,2744.4,2722.2,2744.4,2547.8
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Violent,328,359,424,178,409,1111,370.3,29.3,24.7,-3.5,10,1366.7,1495.8,1766.7,1704.2,1542.9
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Violent,265,323,244,117,223,832,277.3,-7.9,-15.8,-8.6,-20,1472.2,1794.4,1355.6,1238.9,1540.6
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Violent,376,422,436,219,432,1234,411.3,16,14.9,-0.9,5,1105.9,1241.2,1282.4,1270.6,1209.7
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",30000,Violent,943,882,1052,498,1033,2877,959,11.6,9.5,-1.8,8,3143.3,2940,3506.7,3443.3,3196.7
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Violent,220,226,202,99,192,648,216,-8.2,-12.7,-5,-11,1466.7,1506.7,1346.7,1280,1440
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Violent,623,687,675,329,662,1985,661.7,8.3,6.3,-1.9,0,1780,1962.9,1928.6,1891.4,1890.6
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Violent,498,491,451,243,465,1440,480,-9.4,-6.6,3.1,-3,2263.6,2231.8,2050,2113.6,2181.8
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Violent,585,654,610,281,579,1849,616.3,4.3,-1,-5.1,-6,1671.4,1868.6,1742.9,1654.3,1760.9
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Violent,1377,1498,1374,654,1288,4249,1416.3,-0.2,-6.5,-6.3,-9,2700,2937.3,2694.1,2525.5,2777.1
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Violent,582,608,591,284,579,1781,593.7,1.5,-0.5,-2,-2,2155.6,2251.9,2188.9,2144.4,2198.9
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Violent,620,748,556,276,536,1924,641.3,-10.3,-13.5,-3.6,-16,2952.4,3561.9,2647.6,2552.4,3053.8
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Violent,1352,1381,1304,650,1255,4037,1345.7,-3.6,-7.2,-3.8,-7,2939.1,3002.2,2834.8,2728.3,2925.4
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Violent,80,72,73,42,81,225,75,-8.8,1.2,11,8,1142.9,1028.6,1042.9,1157.1,1071.4
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Violent,411,424,476,251,499,1311,437,15.8,21.4,4.8,14,1712.5,1766.7,1983.3,2079.2,1820.8
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Violent,810,922,886,423,838,2618,872.7,9.4,3.5,-5.4,-4,2250,2561.1,2461.1,2327.8,2424.2
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Violent,879,1003,976,501,979,2858,952.7,11,11.4,0.3,3,2511.4,2865.7,2788.6,2797.1,2722
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Violent,690,710,810,429,848,2210,736.7,17.4,22.9,4.7,15,3450,3550,4050,4240,3683.5
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Violent,577,579,579,243,523,1735,578.3,0.3,-9.4,-9.7,-10,2060.7,2067.9,2067.9,1867.9,2065.4
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Violent,1231,1296,1237,639,1287,3764,1254.7,0.5,4.5,4,3,3971,4180.6,3990.3,4151.6,4047.4
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Violent,456,442,478,159,395,1376,458.7,4.8,-13.4,-17.4,-14,1824,1768,1912,1580,1834.8
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Violent,308,282,308,130,274,898,299.3,0,-11,-11,-8,1711.1,1566.7,1711.1,1522.2,1662.8
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Violent,795,783,775,346,737,2353,784.3,-2.5,-7.3,-4.9,-6,2148.6,2116.2,2094.6,1991.9,2119.7
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Violent,695,649,644,276,593,1988,662.7,-7.3,-14.7,-7.9,-11,3861.1,3605.6,3577.8,3294.4,3681.7
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Violent,820,948,867,443,899,2635,878.3,5.7,9.6,3.7,2,2827.6,3269,2989.7,3100,3028.6
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Violent,274,305,260,128,244,839,279.7,-5.1,-10.9,-6.2,-13,1522.2,1694.4,1444.4,1355.6,1553.9
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Violent,781,850,792,413,794,2423,807.7,1.4,1.7,0.3,-2,3003.8,3269.2,3046.2,3053.8,3106.5
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Violent,573,523,594,309,623,1690,563.3,3.7,8.7,4.9,11,2046.4,1867.9,2121.4,2225,2011.8
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Violent,428,481,462,251,490,1371,457,7.9,14.5,6.1,7,2038.1,2290.5,2200,2333.3,2176.2
20G80,20,25.33626534,City Limits,37000,Violent,474,547,571,289,568,1592,530.7,20.5,19.8,-0.5,7,1281.1,1478.4,1543.2,1535.1,1434.3
21I10,21,0.00549966,Hobby Airport,0,Violent,17,9,29,16,32,55,18.3,70.6,88.2,10.3,75,NA,NA,NA,NA,NA
21I20,21,0.01205019,Hobby Airport,0,Violent,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21I40,21,0.00923163,Hobby Airport,0,Violent,3,2,2,4,4,7,2.3,-33.3,33.3,100,74,NA,NA,NA,NA,NA
21I50,21,14.61100076,Hobby Airport,0,Violent,68,49,62,42,85,179,59.7,-8.8,25,37.1,42,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Violent,375,401,375,182,368,1151,383.7,0,-1.9,-1.9,-4,4687.5,5012.5,4687.5,4600,4796.2
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Violent,795,874,871,315,744,2540,846.7,9.6,-6.4,-14.6,-12,1892.9,2081,2073.8,1771.4,2016
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Violent,423,406,397,215,424,1226,408.7,-6.1,0.2,6.8,4,1839.1,1765.2,1726.1,1843.5,1777
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Violent,214,207,235,101,219,656,218.7,9.8,2.3,-6.8,0,713.3,690,783.3,730,729
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Violent,390,365,372,203,396,1127,375.7,-4.6,1.5,6.5,5,1392.9,1303.6,1328.6,1414.3,1341.8
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",22000,Violent,254,325,314,154,289,893,297.7,23.6,13.8,-8,-3,1154.5,1477.3,1427.3,1313.6,1353.2
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Violent,274,307,316,124,278,897,299,15.3,1.5,-12,-7,1522.2,1705.6,1755.6,1544.4,1661.1
24C10,24,5.44044978,Kingwood,13000,Violent,105,141,106,49,100,352,117.3,1,-4.8,-5.7,-15,807.7,1084.6,815.4,769.2,902.3
24C20,24,6.8291794,Kingwood,18000,Violent,79,96,113,60,118,288,96,43,49.4,4.4,23,438.9,533.3,627.8,655.6,533.3
24C30,24,9.78735527,Kingwood,29000,Violent,101,88,97,31,77,286,95.3,-4,-23.8,-20.6,-19,348.3,303.4,334.5,265.5,328.6
24C40,24,35.7992771,Kingwood,6000,Violent,59,64,78,31,78,201,67,32.2,32.2,0,16,983.3,1066.7,1300,1300,1116.7
24C50,24,7.51791807,Kingwood,5000,Violent,79,90,84,62,106,253,84.3,6.3,34.2,26.2,26,1580,1800,1680,2120,1686
24C60,24,4.86823328,Kingwood,21000,Violent,57,40,55,14,45,152,50.7,-3.5,-21.1,-18.2,-11,271.4,190.5,261.9,214.3,241.4
21I60,21,0.01236886,Hobby Airport,0,Violent,6,1,4,7,8,11,3.7,-33.3,33.3,100,116,NA,NA,NA,NA,NA
HCC1,NA,NA,NA,NA,Violent,0,1,0,3,3,1,0.3,NA,NA,NA,900,NA,NA,NA,NA,NA
HCC5,NA,NA,NA,NA,Violent,1,0,0,0,0,1,0.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCC7,NA,NA,NA,NA,Violent,1,10,0,0,0,11,3.7,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCSO,NA,NA,NA,NA,Violent,162,156,18,18,19,336,112,-88.9,-88.3,5.6,-83,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Violent,216,169,24,24,29,409,136.3,-88.9,-86.6,20.8,-79,NA,NA,NA,NA,NA
UH-3PD,NA,NA,NA,NA,Violent,0,1,1,0,0,2,0.7,NA,NA,-100,-100,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Violent,14,10,5,5,8,29,9.7,-64.3,-42.9,60,-18,NA,NA,NA,NA,NA
