beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
12D20,12,3.83700574,Sage,22000,Violent,359,427,375,342,343,1161,387,4.5,-4.5,-8.5,-11,1631.8,1940.9,1704.5,1559.1,1759.1
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Violent,201,206,204,160,161,611,203.7,1.5,-19.9,-21.1,-21,1340,1373.3,1360,1073.3,1358
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Violent,252,272,244,217,219,768,256,-3.2,-13.1,-10.2,-14,2290.9,2472.7,2218.2,1990.9,2327.3
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Violent,96,80,94,94,94,270,90,-2.1,-2.1,0,4,369.2,307.7,361.5,361.5,346.2
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Violent,199,269,242,188,193,710,236.7,21.6,-3,-20.2,-18,904.5,1222.7,1100,877.3,1075.9
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Violent,223,255,221,223,224,699,233,-0.9,0.4,1.4,-4,1858.3,2125,1841.7,1866.7,1941.7
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Violent,677,668,592,606,612,1937,645.7,-12.6,-9.6,3.4,-5,2943.5,2904.3,2573.9,2660.9,2807.4
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Violent,1149,1148,918,997,1008,3215,1071.7,-20.1,-12.3,9.8,-6,3191.7,3188.9,2550,2800,2976.9
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Violent,46,37,35,34,34,118,39.3,-23.9,-26.1,-2.9,-13,2300,1850,1750,1700,1965
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Violent,166,222,183,172,175,571,190.3,10.2,5.4,-4.4,-8,1276.9,1707.7,1407.7,1346.2,1463.8
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Violent,1038,1096,892,794,801,3026,1008.7,-14.1,-22.8,-10.2,-21,6105.9,6447.1,5247.1,4711.8,5933.5
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28000,Violent,1691,1763,1512,1442,1451,4966,1655.3,-10.6,-14.2,-4,-12,6039.3,6296.4,5400,5182.1,5911.8
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Violent,821,750,660,684,690,2231,743.7,-19.6,-16,4.5,-7,3909.5,3571.4,3142.9,3285.7,3541.4
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Violent,622,667,604,582,586,1893,631,-2.9,-5.8,-3,-7,2961.9,3176.2,2876.2,2790.5,3004.8
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Violent,196,247,245,222,224,688,229.3,25,14.3,-8.6,-2,2177.8,2744.4,2722.2,2488.9,2547.8
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Violent,328,359,424,313,315,1111,370.3,29.3,-4,-25.7,-15,1366.7,1495.8,1766.7,1312.5,1542.9
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Violent,265,323,244,222,223,832,277.3,-7.9,-15.8,-8.6,-20,1472.2,1794.4,1355.6,1238.9,1540.6
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Violent,376,422,436,410,413,1234,411.3,16,9.8,-5.3,0,1105.9,1241.2,1282.4,1214.7,1209.7
15E40,15,10.0079174,"NRG Park, Astroworld, Lakes at 610 and Plaza del Oro",30000,Violent,943,882,1052,944,958,2877,959,11.6,1.6,-8.9,-0,3143.3,2940,3506.7,3193.3,3196.7
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Violent,220,226,202,208,211,648,216,-8.2,-4.1,4.5,-2,1466.7,1506.7,1346.7,1406.7,1440
16E20,16,8.15202134,"Almeda Plaza, South Glen, Dumbarton Oaks and Briarwick",35000,Violent,623,687,675,629,631,1985,661.7,8.3,1.3,-6.5,-5,1780,1962.9,1928.6,1802.9,1890.6
16E30,16,7.00932789,"Greenpark, Southwest Crossing and Windsor Village",22000,Violent,498,491,451,449,452,1440,480,-9.4,-9.2,0.2,-6,2263.6,2231.8,2050,2054.5,2181.8
16E40,16,7.49721482,"Chasewood, Willowpark, Briarwick, Ridgemont and Quail Run",35000,Violent,585,654,610,516,520,1849,616.3,4.3,-11.1,-14.8,-16,1671.4,1868.6,1742.9,1485.7,1760.9
17E10,17,3.3104034,"Southwest Memorial Hospital, Burnett Bayland Park and Westmoreland",51000,Violent,1377,1498,1374,1257,1265,4249,1416.3,-0.2,-8.1,-7.9,-11,2700,2937.3,2694.1,2480.4,2777.1
17E20,17,3.92767309,the Houston Baptist University area and Maplewood West,27000,Violent,582,608,591,528,534,1781,593.7,1.5,-8.2,-9.6,-10,2155.6,2251.9,2188.9,1977.8,2198.9
17E30,17,3.8060455,Braeburn Valley West and Glenshire,21000,Violent,620,748,556,582,588,1924,641.3,-10.3,-5.2,5.8,-8,2952.4,3561.9,2647.6,2800,3053.8
17E40,17,4.70920035,"Creekbend, Southwood and Fondren Southwest",46000,Violent,1352,1381,1304,1196,1207,4037,1345.7,-3.6,-10.7,-7.4,-10,2939.1,3002.2,2834.8,2623.9,2925.4
18F10,18,1.95881352,"Saddlebrook, Bayou Woods and Sherwood Forest",7000,Violent,80,72,73,78,81,225,75,-8.8,1.2,11,8,1142.9,1028.6,1042.9,1157.1,1071.4
18F20,18,3.51641691,"The Galleria, Tanglewood, Riverway and Post Oak",24000,Violent,411,424,476,468,475,1311,437,15.8,15.6,-0.2,9,1712.5,1766.7,1983.3,1979.2,1820.8
18F30,18,3.80008564,"The Richmond Strip, Briargrove, Post Oak Estates and Westhaven",36000,Violent,810,922,886,829,832,2618,872.7,9.4,2.7,-6.1,-5,2250,2561.1,2461.1,2311.1,2424.2
18F40,18,2.9060249,"Rosewood General Hospital, Woodlake and Briarmeadow",35000,Violent,879,1003,976,970,974,2858,952.7,11,10.8,-0.2,2,2511.4,2865.7,2788.6,2782.9,2722
18F50,18,2.96939217,"Tanglewild, Sharpstown Mall and Regency Square",20000,Violent,690,710,810,808,813,2210,736.7,17.4,17.8,0.4,10,3450,3550,4050,4065,3683.5
18F60,18,3.62528697,Sharpstown Country Club and Southway Center,28000,Violent,577,579,579,436,441,1735,578.3,0.3,-23.6,-23.8,-24,2060.7,2067.9,2067.9,1575,2065.4
19G10,19,2.74020376,Concourse South and Westwood Mall,31000,Violent,1231,1296,1237,1176,1188,3764,1254.7,0.5,-3.5,-4,-5,3971,4180.6,3990.3,3832.3,4047.4
19G20,19,3.29219023,"Catalina Square, Bellaire West, Imperial Point",25000,Violent,456,442,478,323,325,1376,458.7,4.8,-28.7,-32,-29,1824,1768,1912,1300,1834.8
19G30,19,2.49064202,"Rodeo Square, Wildflower Green, Braewood Glen",18000,Violent,308,282,308,253,254,898,299.3,0,-17.5,-17.5,-15,1711.1,1566.7,1711.1,1411.1,1662.8
19G40,19,4.56425364,"Huntington Village, Wellington Park, Leawood, Keegans Glen",37000,Violent,795,783,775,668,677,2353,784.3,-2.5,-14.8,-12.6,-14,2148.6,2116.2,2094.6,1829.7,2119.7
19G50,19,2.30578624,"Forum Park, Stancliff and Southwest Park",18000,Violent,695,649,644,532,538,1988,662.7,-7.3,-22.6,-16.5,-19,3861.1,3605.6,3577.8,2988.9,3681.7
20G10,20,3.06600809,"Westchase, Woodchase Village and Point West",29000,Violent,820,948,867,798,799,2635,878.3,5.7,-2.6,-7.8,-9,2827.6,3269,2989.7,2755.2,3028.6
20G20,20,3.27621655,"Lakeside Estates, City West Place, Rivercrest and Briargrove Park",18000,Violent,274,305,260,259,259,839,279.7,-5.1,-5.5,-0.4,-7,1522.2,1694.4,1444.4,1438.9,1553.9
20G30,20,3.97953501,"West Houston Medical Center, Andrau Airport, Westchase and Westchase Mall",26000,Violent,781,850,792,740,751,2423,807.7,1.4,-3.8,-5.2,-7,3003.8,3269.2,3046.2,2888.5,3106.5
20G40,20,4.16594899,"Lakeview Forest, Lakeside Place, Ashford Village and Southlake",28000,Violent,573,523,594,642,647,1690,563.3,3.7,12.9,8.9,15,2046.4,1867.9,2121.4,2310.7,2011.8
20G70,20,2.38283582,Westpark Village and Ashford Point,21000,Violent,428,481,462,466,470,1371,457,7.9,9.8,1.7,3,2038.1,2290.5,2200,2238.1,2176.2
20G80,20,25.33626534,City Limits,37000,Violent,474,547,571,526,530,1592,530.7,20.5,11.8,-7.2,-0,1281.1,1478.4,1543.2,1432.4,1434.3
21I10,21,0.00549966,Intercontinental Airport,0,Violent,17,9,29,32,32,55,18.3,70.6,88.2,10.3,75,NA,NA,NA,NA,NA
21I20,21,0.01205019,Intercontinental Airport,0,Violent,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21I30,21,0.01180375,Intercontinental Airport,0,Violent,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21I40,21,0.00923163,Intercontinental Airport,0,Violent,3,2,2,8,8,7,2.3,-33.3,166.7,300,248,NA,NA,NA,NA,NA
21I50,21,14.61100076,Intercontinental Airport,0,Violent,68,49,62,84,84,179,59.7,-8.8,23.5,35.5,41,NA,NA,NA,NA,NA
21I70,21,0.01945113,Intercontinental Airport,0,Violent,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22B10,22,3.28874287,"Willowbrook, Willow Chase Park and Centerfield",8000,Violent,375,401,375,366,370,1151,383.7,0,-1.3,-1.3,-4,4687.5,5012.5,4687.5,4625,4796.2
5F20,5,5.94082911,Spring Branch and Schwartz Park,42000,Violent,795,874,871,781,789,2540,846.7,9.6,-0.8,-9.4,-7,1892.9,2081,2073.8,1878.6,2016
4F10,4,4.13606469,"Timber Oaks, Shadow Oaks and Long Point Acres",23000,Violent,423,406,397,460,466,1226,408.7,-6.1,10.2,17.4,14,1839.1,1765.2,1726.1,2026.1,1777
20G50,20,5.88593521,"Nottingham, Yorkshire, Wilchester, Town and Country Village and Memorial City Shopping Center",30000,Violent,214,207,235,184,185,656,218.7,9.8,-13.6,-21.3,-15,713.3,690,783.3,616.7,729
4F20,4,5.85840284,"Claymore Park, Westbranch, Spring Shadows and Kempwood Forest",28000,Violent,390,365,372,387,389,1127,375.7,-4.6,-0.3,4.6,4,1392.9,1303.6,1328.6,1389.3,1341.8
20G60,20,4.54207617,"Barkers Landing, Fleetwood, Thornwood and Darrel Tully Stadium",22000,Violent,254,325,314,246,247,893,297.7,23.6,-2.8,-21.3,-17,1154.5,1477.3,1427.3,1122.7,1353.2
4F30,4,26.30690179,"Addicks Reservoir Area, Claymore Park, Brittmore Village, Park Ten Place and Mayde Creek Farms",18000,Violent,274,307,316,268,271,897,299,15.3,-1.1,-14.2,-9,1522.2,1705.6,1755.6,1505.6,1661.1
24C10,24,5.44044978,Kingwood,13000,Violent,105,141,106,89,89,352,117.3,1,-15.2,-16,-24,807.7,1084.6,815.4,684.6,902.3
24C20,24,6.8291794,Kingwood,18000,Violent,79,96,113,108,109,288,96,43,38,-3.5,14,438.9,533.3,627.8,605.6,533.3
24C30,24,9.78735527,Kingwood,29000,Violent,101,88,97,93,93,286,95.3,-4,-7.9,-4.1,-2,348.3,303.4,334.5,320.7,328.6
24C40,24,35.7992771,Kingwood,6000,Violent,59,64,78,61,61,201,67,32.2,3.4,-21.8,-9,983.3,1066.7,1300,1016.7,1116.7
24C50,24,7.51791807,Kingwood,5000,Violent,79,90,84,103,104,253,84.3,6.3,31.6,23.8,23,1580,1800,1680,2080,1686
24C60,24,4.86823328,Kingwood,21000,Violent,57,40,55,23,23,152,50.7,-3.5,-59.6,-58.2,-55,271.4,190.5,261.9,109.5,241.4
21I60,21,0.01236886,Intercontinental Airport,0,Violent,6,1,4,8,8,11,3.7,-33.3,33.3,100,116,NA,NA,NA,NA,NA
FTB4,NA,NA,NA,NA,Violent,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HCC1,NA,NA,NA,NA,Violent,0,1,0,3,3,1,0.3,NA,NA,NA,900,NA,NA,NA,NA,NA
HCC4,NA,NA,NA,NA,Violent,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HCC5,NA,NA,NA,NA,Violent,1,0,0,0,0,1,0.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCC7,NA,NA,NA,NA,Violent,1,10,0,0,0,11,3.7,-100,-100,NA,-100,NA,NA,NA,NA,NA
HCSO,NA,NA,NA,NA,Violent,162,156,18,53,53,336,112,-88.9,-67.3,194.4,-53,NA,NA,NA,NA,NA
OOJ,NA,NA,NA,NA,Violent,216,169,24,75,76,409,136.3,-88.9,-64.8,216.7,-44,NA,NA,NA,NA,NA
UH-2PD,NA,NA,NA,NA,Violent,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
UH-3PD,NA,NA,NA,NA,Violent,0,1,1,1,1,2,0.7,NA,NA,0,43,NA,NA,NA,NA,NA
Unknown,NA,NA,NA,NA,Violent,14,10,5,6,6,29,9.7,-64.3,-57.1,20,-38,NA,NA,NA,NA,NA
